District,Murder,Negligence,Hurt,ASSAULT_ON_WOMEN,KIDNAPPING_AND_ABDUCTION,HUMAN_TRAFFICKING,Rape,OFFENCE_AGAINST_PUBLIC_TRANQUILITY,OFFENCES_AGAINST_PROPERTY,OFFENCES_RELATING_TO_DOCUMENTS_AND_PROPERTY_MARKS,Miscellaneous,Others,Total,Population,Crime_Rate,Sex_Ratio,Literacy,Density,Latitude,Longitude,Year
Nasik,240,917,1720,384,473,1,65,637,2528,529,18068,347,25909,6107187,934,0.8231,393,21.7468548,74.123996,0.424237869,2020
Navi Mumbai,79,232,466,158,217,4,62,95,1859,500,1827,85,5584,1120547,837,0.8962,6204,19.9974533,73.7898023,0.498328049,2020
Osmanabad,92,253,847,123,87,0,21,247,685,80,1126,61,3622,1657576,924,0.7844,219,18.185332,76.0419642,0.218511851,2020
Parbhani,165,121,1227,139,65,0,33,119,924,94,1468,84,4439,1836086,947,0.7334,295,19.2608384,76.774776,0.241764275,2020
Pune,649,1102,3540,936,1113,28,243,1227,7935,999,37271,771,55814,9429408,915,0.8615,603,18.5204303,73.8567437,0.591914148,2020
Raigad,47,191,334,77,73,0,20,165,533,141,474,105,2160,2634200,959,0.8314,368,18.2376278,73.4445392,0.08199833,2020
Ratnagiri,39,106,250,53,43,0,11,109,361,113,388,18,1491,1615069,1122,0.8218,197,16.990215,73.3120233,0.092318037,2020
Sangli,207,269,1344,250,228,2,39,w,1678,197,1756,293,6603,2822143,966,0.8148,329,16.8523973,74.5814773,0.233971135,2020
Satara,145,359,1017,275,192,2,49,481,1557,183,2986,162,7408,3003741,988,0.8287,287,17.6804639,74.018261,0.246625791,2020
Sindhudurg,18,50,241,53,18,0,6,43,178,48,330,14,999,849651,1036,0.8556,163,16.3492193,73.5594128,0.117577688,2020
Solapur,246,461,2437,449,276,8,96,786,3046,289,2906,3744,14744,4317756,938,0.7702,290,17.6599188,75.9063906,0.341473673,2020
Thane,336,814,3187,746,1159,30,243,687,6209,1211,8009,997,23628,11060148,886,0.8453,1157,19.2183307,72.9780897,0.213631861,2020
Wardha,86,170,1394,197,113,0,25,44,741,88,1980,24,4862,1300774,946,0.8699,206,20.745319,78.6021946,0.373777459,2020
Washim,114,110,855,163,66,0,24,142,449,39,3699,29,5690,1197160,930,0.8325,244,20.1119123,77.1312586,0.475291523,2020
Yavatmal,140,310,1431,187,128,1,44,85,923,56,4117,138,7560,2772348,952,0.8282,204,20.3899385,78.1306846,0.272693039,2020
Ahmednagar,217,832,1362,486,420,0,60,759,4233,231,3585,357,12542,4543159,939,0.7905,266,19.0948287,74.7479789,0.276063418,2019
Akola,96,156,1167,197,126,0,31,116,808,95,2040,385,5217,1813906,946,0.8805,320,20.7002159,77.0081678,0.287611376,2019
Amravati,187,316,1681,400,271,2,76,96,2233,189,4083,196,9730,2888445,951,0.8738,237,20.9319821,77.7523039,0.336859452,2019
Aurangbad,170,489,1718,344,318,0,67,347,7888,356,3190,349,15236,3701282,923,0.7902,366,19.8761653,75.3433139,0.411641156,2019
Beed,129,316,955,204,128,4,47,322,940,97,1186,120,4448,2585049,916,0.7699,242,18.990088,75.7531324,0.172066371,2019
Bhandara,54,141,366,85,108,0,33,46,630,60,1494,42,3059,1200334,982,0.8376,294,21.177658,79.6570127,0.254845735,2019
Buldhana,91,276,1674,258,123,0,41,272,1251,140,3451,128,7705,2586258,934,0.834,268,20.5292147,76.1841701,0.29792078,2019
Chandrapur,68,245,944,159,205,2,42,100,1041,139,4119,59,7123,2204307,961,0.8001,193,19.9615398,79.2961468,0.323140107,2019
Dhule,92,266,409,104,107,0,13,196,1065,118,1267,640,4277,2050862,946,0.728,285,20.9042201,74.7748979,0.208546455,2019
Gadchiroli,96,138,214,47,49,0,17,8,248,40,393,18,1268,1072942,982,0.7436,74,20.184871,79.9947956,0.118179734,2019
Gondia,57,150,379,116,113,0,27,37,547,51,1302,22,2801,1322507,999,0.8495,253,21.4549477,80.1960712,0.21179472,2019
Hingoli,68,117,508,68,54,0,20,109,440,32,1499,25,2940,1177345,942,0.7817,244,19.7173703,77.1493722,0.2497144,2019
Jalgaon,160,416,717,241,207,0,38,364,1903,150,1775,310,6281,4229917,925,0.782,360,21.0076578,75.5626039,0.148489911,2019
Jalna,111,184,967,280,114,0,39,268,1374,158,573,564,4632,1959046,937,0.7152,254,19.8346659,75.8816345,0.236441615,2019
